"houseID","totalPrice","date"
"103101285568","335","2019-02-02 21:50:47"
"103101289013","230","2019-02-02 21:53:09"
"103101291179","620","2019-02-02 22:03:23"
"103101295044","210","2019-02-02 21:53:09"
"103101296561","1350","2019-02-02 21:50:32"
"103101300832","410","2019-02-02 21:48:13"
"103101300832","415","2019-01-01 17:07:25"
"103101301623","1800","2019-02-02 21:53:41"
"103101302325","480","2019-02-02 21:48:13"
"103101302728","495","2019-02-02 21:50:30"
"103101304352","475","2019-02-02 22:04:01"
"103101305004","310","2019-02-02 21:57:10"
"103101305574","580","2019-02-02 21:48:03"
"103101309152","218","2019-02-02 21:53:47"
"103101310659","90","2019-02-02 21:51:15"
"103101310901","430","2019-02-02 21:52:59"
"103101315070","820","2019-02-02 21:48:13"
"103101316217","2580","2019-01-01 17:10:34"
"103101316224","325","2019-02-02 21:48:49"
"103101316975","270","2019-02-02 22:00:39"
"103101316975","272","2019-01-01 17:20:18"
"103101319204","800","2019-02-02 21:53:11"
"103101322435","465","2019-01-01 17:16:24"
"103101323542","400","2019-02-02 21:54:31"
"103101324556","850","2019-02-02 22:00:52"
"103101324640","390","2019-02-02 21:53:13"
"103101325296","780","2019-02-02 21:50:32"
"103101326671","520","2019-02-02 21:50:47"
"103101327097","650","2019-02-02 22:03:05"
"103101332550","800","2019-02-02 22:01:23"
"103101335927","425","2019-02-02 21:51:40"
"103101336005","608","2019-02-02 21:53:33"
"103101342318","200","2019-01-01 17:10:32"
"103101342951","675","2019-02-02 21:48:05"
"103101348198","290","2019-02-02 21:52:57"
"103101351517","250","2019-02-02 21:51:03"
"103101351517","265","2019-01-01 17:09:48"
"103101355509","750","2019-01-01 17:16:55"
"103101355920","285","2019-02-02 21:59:16"
"103101356392","400","2019-02-02 21:50:47"
"103101358563","493","2019-02-02 21:59:52"
"103101358772","450","2019-02-02 21:59:30"
"103101359325","600","2019-02-02 21:59:04"
"103101360239","535","2019-02-02 21:51:03"
"103101361644","275","2019-02-02 21:51:35"
"103101364912","580","2019-01-01 17:09:04"
"103101364912","590","2019-02-02 21:48:07"
"103101366731","580","2019-02-02 22:01:25"
"103101366744","175","2019-01-01 17:22:23"
"103101371004","730","2019-01-01 17:10:39"
"103101377249","670","2019-02-02 21:57:27"
"103101380990","130","2019-02-02 21:53:05"
"103101385135","320","2019-02-02 21:50:34"
"103101385751","410","2019-02-02 21:55:09"
"103101387060","560","2019-02-02 21:53:17"
